samples,features,classes,clusters,seed,population_size,point,class,target,model,max_distance,mean_distance,distance_std,min_distance,accuracy
10,2,2,1,1,16000,5,1,0,MLPClassifier,0.345685649532538,0.3368454743387537,0.0049448470608546,0.3302136062697649,1.0
10,2,2,1,1,16000,5,1,1,MLPClassifier,0.0205021159126295,0.0115336514150936,0.0058856383429759,8.11492470775832e-07,1.0
10,2,2,1,1,16000,6,1,0,MLPClassifier,0.2348786287630881,0.2236742738945558,0.0058849638924619,0.2157170442552203,1.0
10,2,2,1,1,16000,6,1,1,MLPClassifier,0.0206206830059658,0.0110470802383775,0.006060565487977,8.11492470775832e-07,1.0
10,2,2,1,1,16000,7,1,0,MLPClassifier,0.2065789158213222,0.1923482919214553,0.0068480618246911,0.1836042057578091,1.0
10,2,2,1,1,16000,7,1,1,MLPClassifier,0.0194344025947332,0.0106650957837642,0.005737664439257,8.11492470775832e-07,1.0
10,2,2,1,1,16000,8,1,0,MLPClassifier,0.280076070838779,0.2693346922282928,0.0055547318887789,0.2618687408864513,1.0
10,2,2,1,1,16000,8,1,1,MLPClassifier,0.017718558712224,0.0094591610519046,0.0051924534379595,8.11492470775832e-07,1.0
10,2,2,1,1,16000,9,0,0,MLPClassifier,0.0205384420787577,0.0116258415076189,0.0056872811938211,8.114924709978766e-07,1.0
10,2,2,1,1,16000,9,0,1,MLPClassifier,2.9378960272075867,2.926489021442292,0.0072430921211561,2.900173314704392,1.0
10,4,2,1,0,1000,0,0,0,MLPClassifier,0.0870129034128797,0.052931789014202,0.0240405030387702,0.0031496263896011,1.0
10,4,2,1,0,1000,0,0,1,MLPClassifier,1.6822866561742835,1.6396575207074349,0.0242574468923181,1.597186728628457,1.0
10,4,2,1,0,1000,1,1,0,MLPClassifier,1.2263314279745523,1.178559688828981,0.0335516148180392,1.095265318336526,1.0
